w,all_sample,one_sample1,one_sample2,50_sample,100_sampe
1.0,1006.07548698,1764.53475462,835.456921822,925.316900077,925.807691671
1.002,1005.48818486,1763.51786472,835.149579348,924.777655011,925.248078065
1.004,1004.90117728,1762.50135476,834.842412159,924.238687423,924.688755789
1.006,1004.31446425,1761.48522474,834.535420253,923.699997312,924.129724845
1.008,1003.72804576,1760.46947464,834.228603631,923.161584679,923.570985233
1.01,1003.14192183,1759.45410448,833.921962294,922.623449523,923.012536951
1.012,1002.55609244,1758.43911426,833.61549624,922.085591845,922.454380002
1.014,1001.97055759,1757.42450397,833.30920547,921.548011645,921.896514383
1.016,1001.38531729,1756.41027361,833.003089984,921.010708922,921.338940096
1.018,1000.80037154,1755.39642319,832.697149783,920.473683677,920.78165714
1.02,1000.21572034,1754.38295271,832.391384865,919.936935909,920.224665516
1.022,999.631363677,1753.36986215,832.085795231,919.400465619,919.667965223
1.024,999.047301564,1752.35715153,831.780380881,918.864272807,919.111556262
1.026,998.463533998,1751.34482085,831.475141814,918.328357472,918.555438631
1.028,997.880060979,1750.3328701,831.170078032,917.792719615,917.999612333
1.03,997.296882506,1749.32129928,830.865189534,917.257359235,917.444077365
1.032,996.71399858,1748.3101084,830.56047632,916.722276333,916.888833729
1.034,996.1314092,1747.29929745,830.25593839,916.187470909,916.333881425
1.036,995.549114366,1746.28886644,829.951575743,915.652942962,915.779220451
1.038,994.967114079,1745.27881536,829.647388381,915.118692493,915.22485081
1.04,994.385408339,1744.26914421,829.343376302,914.584719501,914.670772499
1.042,993.803997145,1743.259853,829.039539508,914.051023987,914.11698552
1.044,993.222880497,1742.25094172,828.735877997,913.51760595,913.563489872
1.046,992.642058396,1741.24241038,828.432391771,912.984465392,913.010285556
1.048,992.061530841,1740.23425897,828.129080828,912.45160231,912.457372571
1.05,991.481297833,1739.22648749,827.82594517,911.919016706,911.904750918
1.052,990.901359372,1738.21909595,827.522984795,911.38670858,911.352420596
1.054,990.321715456,1737.21208435,827.220199704,910.854677932,910.800381605
1.056,989.742366088,1736.20545267,826.917589897,910.322924761,910.248633946
1.058,989.163311265,1735.19920094,826.615155374,909.791449068,909.697177618
1.06,988.584550989,1734.19332913,826.312896135,909.260250852,909.146012621
1.062,988.00608526,1733.18783726,826.01081218,908.729330114,908.595138956
1.064,987.427914077,1732.18272533,825.708903509,908.198686853,908.044556622
1.066,986.850037441,1731.17799332,825.407170122,907.66832107,907.49426562
1.068,986.272455351,1730.17364126,825.105612019,907.138232765,906.944265948
1.07,985.695167807,1729.16966912,824.8042292,906.608421937,906.394557609
